customer_id,signup_date,country,customer_segment,acquisition_channel,age_group
CUST000001,2024-04-17,US,Small Business,Organic Search,35-44
CUST000002,2025-03-21,GB,Small Business,Organic Search,25-34
CUST000003,2024-06-19,BR,Consumer,Paid Social,55+
CUST000004,2025-11-15,US,Consumer,Referral,35-44
CUST000005,2024-12-01,GB,Consumer,Partner,35-44
CUST000006,2025-02-16,MX,Small Business,Paid Social,25-34
CUST000007,2024-07-15,BR,Premium Consumer,Organic Search,35-44
CUST000008,2025-11-13,CR,Consumer,Affiliate,25-34
CUST000009,2025-11-19,US,Consumer,Organic Search,45-54
CUST000010,2025-02-26,BR,Consumer,Organic Search,55+
CUST000011,2025-12-13,US,Small Business,Paid Social,18-24
CUST000012,2024-11-29,BR,Premium Consumer,Direct,25-34
CUST000013,2025-04-15,US,Consumer,Affiliate,35-44
CUST000014,2025-06-19,US,Consumer,Paid Social,45-54
CUST000015,2025-01-01,CR,Consumer,Organic Search,35-44
CUST000016,2025-10-26,MX,Small Business,Affiliate,25-34
CUST000017,2024-12-07,GB,Consumer,Organic Search,45-54
CUST000018,2024-05-05,GB,Small Business,Paid Social,45-54
CUST000019,2024-06-20,CR,Premium Consumer,Organic Search,25-34
CUST000020,2025-04-19,US,Consumer,Affiliate,45-54
CUST000021,2026-03-06,CR,Consumer,Direct,25-34
CUST000022,2025-06-29,CR,Small Business,Organic Search,45-54
CUST000023,2025-02-13,GB,Consumer,Paid Social,35-44
CUST000024,2025-07-23,MX,Premium Consumer,Referral,18-24
CUST000025,2026-03-30,BR,Consumer,Direct,25-34
CUST000026,2024-02-23,BR,Consumer,Paid Social,25-34
CUST000027,2024-02-10,CR,Consumer,Referral,18-24
CUST000028,2025-09-19,CA,Small Business,Organic Search,45-54
CUST000029,2025-02-14,MX,Consumer,Organic Search,55+
CUST000030,2024-10-15,US,Consumer,Organic Search,25-34
CUST000031,2024-01-23,US,Consumer,Organic Search,35-44
CUST000032,2025-08-30,GB,Small Business,Organic Search,25-34
CUST000033,2024-04-07,MX,Consumer,Direct,35-44
CUST000034,2025-04-11,GB,Consumer,Paid Social,25-34
CUST000035,2024-12-18,US,Consumer,Direct,45-54
CUST000036,2026-02-17,CA,Consumer,Paid Social,45-54
CUST000037,2025-10-30,CR,Consumer,Referral,25-34
CUST000038,2024-06-23,GB,Small Business,Referral,35-44
CUST000039,2025-08-12,US,Consumer,Affiliate,35-44
CUST000040,2025-07-22,US,Consumer,Organic Search,45-54
CUST000041,2026-02-21,US,Small Business,Paid Social,45-54
CUST000042,2025-08-25,US,Consumer,Organic Search,18-24
CUST000043,2026-02-11,CR,Consumer,Paid Social,35-44
CUST000044,2025-01-30,US,Consumer,Affiliate,35-44
CUST000045,2025-12-23,CR,Consumer,Organic Search,18-24
CUST000046,2026-03-08,US,Consumer,Direct,25-34
CUST000047,2024-03-29,BR,Premium Consumer,Referral,18-24
CUST000048,2024-04-14,CA,Consumer,Paid Social,25-34
CUST000049,2025-02-03,BR,Premium Consumer,Referral,35-44
CUST000050,2024-07-17,US,Consumer,Referral,25-34
CUST000051,2025-02-17,CA,Consumer,Referral,35-44
CUST000052,2024-06-14,US,Premium Consumer,Organic Search,35-44
CUST000053,2024-08-23,GB,Premium Consumer,Direct,35-44
CUST000054,2025-02-20,US,Consumer,Paid Social,18-24
CUST000055,2024-11-23,US,Consumer,Direct,18-24
CUST000056,2025-11-13,US,Premium Consumer,Direct,25-34
CUST000057,2025-04-19,CA,Consumer,Paid Social,45-54
CUST000058,2026-03-05,BR,Consumer,Organic Search,25-34
CUST000059,2025-04-19,CA,Premium Consumer,Referral,25-34
CUST000060,2024-01-19,US,Consumer,Referral,45-54
CUST000061,2025-03-24,GB,Consumer,Referral,18-24
CUST000062,2026-02-28,CR,Consumer,Paid Social,45-54
CUST000063,2024-04-23,CA,Consumer,Affiliate,35-44
CUST000064,2024-03-12,MX,Premium Consumer,Organic Search,35-44
CUST000065,2026-01-08,MX,Consumer,Direct,25-34
CUST000066,2025-08-23,US,Small Business,Direct,35-44
CUST000067,2025-05-10,CA,Small Business,Paid Social,45-54
CUST000068,2025-09-03,BR,Consumer,Referral,55+
CUST000069,2025-04-17,US,Consumer,Referral,25-34
CUST000070,2025-04-08,US,Premium Consumer,Organic Search,25-34
CUST000071,2024-03-09,US,Premium Consumer,Organic Search,35-44
CUST000072,2025-10-05,GB,Premium Consumer,Direct,25-34
CUST000073,2025-02-08,US,Consumer,Partner,35-44
CUST000074,2024-07-01,US,Premium Consumer,Referral,25-34
CUST000075,2025-11-17,BR,Consumer,Paid Social,25-34
CUST000076,2026-01-28,MX,Consumer,Affiliate,35-44
CUST000077,2026-02-15,MX,Premium Consumer,Affiliate,45-54
CUST000078,2024-09-10,US,Consumer,Partner,35-44
CUST000079,2025-01-18,US,Consumer,Direct,45-54
CUST000080,2024-04-07,CR,Consumer,Paid Social,35-44
CUST000081,2025-09-07,US,Consumer,Organic Search,35-44
CUST000082,2025-03-06,GB,Consumer,Paid Social,35-44
CUST000083,2025-03-30,US,Premium Consumer,Organic Search,18-24
CUST000084,2024-06-07,BR,Premium Consumer,Referral,25-34
CUST000085,2024-09-30,US,Consumer,Direct,18-24
CUST000086,2025-03-05,BR,Consumer,Referral,35-44
CUST000087,2025-11-30,MX,Small Business,Paid Social,18-24
CUST000088,2025-06-25,GB,Consumer,Organic Search,25-34
CUST000089,2024-06-09,CA,Consumer,Paid Social,35-44
CUST000090,2024-04-27,US,Consumer,Paid Social,55+
CUST000091,2024-10-17,BR,Consumer,Paid Social,35-44
CUST000092,2025-05-18,BR,Small Business,Organic Search,55+
CUST000093,2026-01-10,US,Premium Consumer,Paid Social,25-34
CUST000094,2025-02-15,BR,Consumer,Direct,35-44
CUST000095,2025-01-29,BR,Consumer,Paid Social,35-44
CUST000096,2024-01-30,CA,Consumer,Affiliate,55+
CUST000097,2024-06-24,GB,Consumer,Organic Search,35-44
CUST000098,2024-03-23,BR,Consumer,Partner,45-54
CUST000099,2025-12-07,US,Premium Consumer,Paid Social,35-44
CUST000100,2024-12-04,US,Consumer,Partner,45-54
CUST000101,2025-09-15,GB,Consumer,Referral,45-54
CUST000102,2025-02-07,US,Small Business,Paid Social,45-54
CUST000103,2025-06-25,CR,Consumer,Affiliate,35-44
CUST000104,2024-01-08,GB,Consumer,Affiliate,25-34
CUST000105,2026-01-28,CR,Premium Consumer,Partner,25-34
CUST000106,2024-01-30,BR,Consumer,Referral,35-44
CUST000107,2025-10-08,US,Consumer,Paid Social,45-54
CUST000108,2025-09-11,CA,Consumer,Paid Social,55+
CUST000109,2024-09-02,CA,Consumer,Organic Search,25-34
CUST000110,2025-03-29,CR,Small Business,Organic Search,25-34
CUST000111,2025-03-21,US,Premium Consumer,Direct,35-44
CUST000112,2025-08-05,CR,Premium Consumer,Affiliate,35-44
CUST000113,2025-01-31,US,Consumer,Paid Social,35-44
CUST000114,2025-02-22,GB,Consumer,Paid Social,35-44
CUST000115,2024-02-23,US,Consumer,Paid Social,18-24
CUST000116,2025-10-22,US,Consumer,Paid Social,45-54
CUST000117,2025-11-29,GB,Consumer,Paid Social,25-34
CUST000118,2025-12-19,US,Premium Consumer,Paid Social,25-34
CUST000119,2024-01-30,US,Consumer,Paid Social,45-54
CUST000120,2024-08-03,US,Consumer,Affiliate,25-34
CUST000121,2024-11-26,US,Consumer,Paid Social,25-34
CUST000122,2025-07-17,US,Premium Consumer,Organic Search,25-34
CUST000123,2025-05-22,US,Premium Consumer,Affiliate,35-44
CUST000124,2025-02-24,GB,Small Business,Direct,35-44
CUST000125,2025-09-08,US,Premium Consumer,Referral,25-34
CUST000126,2024-08-04,MX,Consumer,Paid Social,25-34
CUST000127,2025-03-20,CA,Consumer,Affiliate,18-24
CUST000128,2024-09-22,BR,Consumer,Affiliate,55+
CUST000129,2024-10-29,CR,Consumer,Partner,25-34
CUST000130,2024-12-31,CR,Consumer,Direct,45-54
CUST000131,2024-11-20,US,Consumer,Partner,35-44
CUST000132,2024-10-14,US,Consumer,Affiliate,35-44
CUST000133,2025-11-09,BR,Small Business,Paid Social,55+
CUST000134,2024-01-11,GB,Small Business,Paid Social,25-34
CUST000135,2024-08-30,CR,Premium Consumer,Paid Social,45-54
CUST000136,2025-04-13,CR,Small Business,Organic Search,55+
CUST000137,2024-07-21,US,Premium Consumer,Organic Search,45-54
CUST000138,2024-06-15,MX,Consumer,Paid Social,25-34
CUST000139,2025-10-31,BR,Consumer,Affiliate,35-44
CUST000140,2024-11-08,BR,Consumer,Organic Search,25-34
CUST000141,2024-08-01,CR,Consumer,Affiliate,18-24
CUST000142,2024-07-28,CA,Premium Consumer,Referral,35-44
CUST000143,2025-09-23,CR,Small Business,Paid Social,25-34
CUST000144,2024-09-26,CR,Consumer,Organic Search,35-44
CUST000145,2024-10-26,GB,Consumer,Paid Social,35-44
CUST000146,2025-10-25,BR,Consumer,Paid Social,55+
CUST000147,2024-05-09,GB,Consumer,Direct,35-44
CUST000148,2025-01-11,GB,Premium Consumer,Organic Search,25-34
CUST000149,2025-10-05,US,Consumer,Affiliate,25-34
CUST000150,2025-03-28,BR,Small Business,Organic Search,18-24
CUST000151,2024-08-26,MX,Consumer,Organic Search,35-44
CUST000152,2025-04-26,BR,Consumer,Paid Social,25-34
CUST000153,2025-01-14,US,Consumer,Referral,45-54
CUST000154,2026-02-27,US,Premium Consumer,Paid Social,35-44
CUST000155,2024-07-09,BR,Consumer,Direct,35-44
CUST000156,2024-10-30,MX,Premium Consumer,Direct,25-34
CUST000157,2025-09-17,US,Consumer,Organic Search,35-44
CUST000158,2024-06-16,CA,Consumer,Referral,45-54
CUST000159,2026-02-13,MX,Consumer,Referral,35-44
CUST000160,2024-10-27,US,Consumer,Paid Social,45-54
CUST000161,2025-08-08,BR,Consumer,Referral,25-34
CUST000162,2024-04-09,CR,Premium Consumer,Paid Social,35-44
CUST000163,2025-07-25,US,Premium Consumer,Referral,35-44
CUST000164,2024-10-02,US,Consumer,Organic Search,45-54
CUST000165,2024-08-04,CR,Consumer,Paid Social,18-24
CUST000166,2026-02-20,CR,Consumer,Paid Social,55+
CUST000167,2025-09-16,US,Premium Consumer,Partner,35-44
CUST000168,2024-12-12,US,Consumer,Direct,35-44
CUST000169,2024-06-20,US,Consumer,Direct,35-44
CUST000170,2025-05-07,BR,Consumer,Affiliate,35-44
CUST000171,2024-03-16,US,Consumer,Referral,25-34
CUST000172,2024-07-31,US,Small Business,Organic Search,35-44
CUST000173,2024-12-26,US,Consumer,Organic Search,25-34
CUST000174,2024-09-30,US,Consumer,Referral,45-54
CUST000175,2024-03-20,US,Consumer,Organic Search,35-44
CUST000176,2024-11-12,MX,Consumer,Referral,25-34
CUST000177,2025-09-26,GB,Small Business,Paid Social,25-34
CUST000178,2025-06-10,BR,Consumer,Partner,18-24
CUST000179,2025-06-21,CA,Premium Consumer,Paid Social,45-54
CUST000180,2025-12-16,CA,Consumer,Referral,25-34
CUST000181,2026-03-07,CR,Consumer,Affiliate,55+
CUST000182,2024-05-11,US,Consumer,Direct,18-24
CUST000183,2024-06-01,BR,Consumer,Referral,25-34
CUST000184,2024-08-09,US,Consumer,Paid Social,25-34
CUST000185,2025-01-30,CR,Consumer,Referral,45-54
CUST000186,2025-06-11,US,Consumer,Organic Search,25-34
CUST000187,2025-04-19,US,Consumer,Paid Social,25-34
CUST000188,2025-05-04,BR,Consumer,Paid Social,25-34
CUST000189,2025-04-19,CR,Consumer,Organic Search,55+
CUST000190,2025-10-28,US,Consumer,Referral,45-54
CUST000191,2024-07-22,CA,Consumer,Direct,18-24
CUST000192,2024-04-25,GB,Consumer,Affiliate,35-44
CUST000193,2024-07-04,GB,Consumer,Organic Search,35-44
CUST000194,2025-12-29,US,Consumer,Organic Search,25-34
CUST000195,2026-03-04,US,Small Business,Paid Social,35-44
CUST000196,2026-03-29,US,Consumer,Direct,25-34
CUST000197,2024-01-16,US,Consumer,Paid Social,45-54
CUST000198,2024-04-21,CR,Consumer,Paid Social,25-34
CUST000199,2026-02-04,MX,Consumer,Paid Social,25-34
CUST000200,2025-11-17,CA,Consumer,Direct,45-54
CUST000201,2024-03-31,CA,Consumer,Organic Search,55+
CUST000202,2024-08-14,CA,Consumer,Organic Search,25-34
CUST000203,2024-11-04,US,Consumer,Referral,45-54
