subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,auto_renew,discount_pct
SUB0000001,CUST000001,P04,2024-05-07,2026-02-22,Cancelled,0,0.0
SUB0000002,CUST000002,P04,2025-03-30,,Active,1,10.0
SUB0000003,CUST000003,P01,2024-06-27,2025-01-19,Cancelled,1,5.0
SUB0000004,CUST000004,P01,2025-11-22,,Active,1,0.0
SUB0000005,CUST000005,P01,2024-12-08,,Active,1,0.0
SUB0000006,CUST000006,P04,2025-02-16,2026-03-14,Cancelled,1,0.0
SUB0000007,CUST000007,P03,2024-07-26,,Active,1,5.0
SUB0000008,CUST000008,P02,2025-11-18,,Active,0,5.0
SUB0000009,CUST000009,P01,2025-11-28,,Active,1,5.0
SUB0000010,CUST000010,P01,2025-03-13,,Active,1,10.0
SUB0000011,CUST000010,P02,2026-05-09,,Active,1,15.0
SUB0000012,CUST000011,P02,2025-12-16,,Active,1,0.0
SUB0000013,CUST000012,P03,2024-12-01,,Active,1,0.0
SUB0000014,CUST000013,P01,2025-05-01,,Active,1,0.0
SUB0000015,CUST000014,P02,2025-06-27,,Active,1,0.0
SUB0000016,CUST000015,P01,2025-01-17,,Active,1,0.0
SUB0000017,CUST000016,P03,2025-11-05,,Active,1,0.0
SUB0000018,CUST000017,P01,2024-12-09,,Active,1,5.0
SUB0000019,CUST000018,P04,2024-05-09,,Active,1,5.0
SUB0000020,CUST000019,P02,2024-07-05,,Active,1,20.0
SUB0000021,CUST000020,P02,2025-05-02,,Active,1,5.0
SUB0000022,CUST000020,P01,2025-10-21,,Active,1,0.0
SUB0000023,CUST000021,P01,2026-03-26,,Active,0,5.0
SUB0000024,CUST000022,P04,2025-07-07,2026-06-15,Cancelled,0,0.0
SUB0000025,CUST000023,P01,2025-02-21,2025-06-14,Cancelled,1,0.0
SUB0000026,CUST000024,P02,2025-08-06,,Active,1,0.0
SUB0000027,CUST000025,P01,2026-04-13,,Active,1,5.0
SUB0000029,CUST000026,P02,2024-03-01,,Active,1,0.0
SUB0000030,CUST000027,P03,2024-02-15,,Active,1,0.0
SUB0000031,CUST000028,P03,2025-09-28,,Active,1,0.0
SUB0000032,CUST000029,P01,2025-02-21,2025-03-30,Cancelled,1,5.0
SUB0000033,CUST000030,P03,2024-11-03,,Active,1,15.0
SUB0000034,CUST000031,P01,2024-01-23,,Active,0,20.0
SUB0000035,CUST000032,P04,2025-09-03,,Active,1,0.0
SUB0000036,CUST000033,P02,2024-04-24,,Active,1,10.0
SUB0000037,CUST000034,P01,2025-04-17,2025-12-28,Cancelled,1,5.0
SUB0000038,CUST000034,P01,2026-01-22,,Active,1,0.0
SUB0000039,CUST000035,P02,2025-01-06,2025-04-27,Cancelled,1,0.0
SUB0000040,CUST000036,P01,2026-03-04,,Active,1,0.0
SUB0000041,CUST000037,P03,2025-11-05,,Active,1,0.0
SUB0000042,CUST000038,P03,2024-06-24,2026-06-28,Cancelled,1,10.0
SUB0000043,CUST000039,P01,2025-08-26,,Active,1,15.0
SUB0000044,CUST000040,P01,2025-07-27,,Active,1,0.0
SUB0000045,CUST000040,P01,2025-11-18,,Active,1,0.0
SUB0000046,CUST000041,P04,2026-02-28,2026-04-14,Cancelled,1,5.0
SUB0000047,CUST000042,P01,2025-09-02,,Active,1,5.0
SUB0000048,CUST000043,P01,2026-02-28,,Active,1,0.0
SUB0000049,CUST000044,P01,2025-02-09,,Active,1,0.0
SUB0000050,CUST000045,P02,2025-12-23,,Active,0,0.0
SUB0000051,CUST000046,P01,2026-03-15,,Active,1,0.0
SUB0000052,CUST000047,P03,2024-04-17,2024-11-18,Cancelled,1,10.0
SUB0000053,CUST000048,P01,2024-04-24,2025-04-28,Cancelled,1,0.0
SUB0000054,CUST000048,P02,2024-08-10,,Active,1,5.0
SUB0000055,CUST000049,P02,2025-02-05,,Active,1,0.0
SUB0000056,CUST000050,P01,2024-08-04,,Active,1,0.0
SUB0000057,CUST000051,P02,2025-02-24,,Active,1,0.0
SUB0000058,CUST000052,P01,2024-06-20,,Active,1,0.0
SUB0000059,CUST000053,P03,2024-09-11,,Active,0,0.0
SUB0000060,CUST000054,P01,2025-03-12,,Active,0,0.0
SUB0000061,CUST000055,P01,2024-12-10,,Active,1,0.0
SUB0000062,CUST000056,P02,2025-11-22,,Active,1,20.0
SUB0000063,CUST000057,P01,2025-05-09,,Active,0,0.0
SUB0000064,CUST000058,P02,2026-03-25,,Active,0,0.0
SUB0000065,CUST000059,P03,2025-04-22,,Active,1,0.0
SUB0000066,CUST000060,P01,2024-02-07,2025-09-10,Cancelled,1,0.0
SUB0000067,CUST000061,P01,2025-03-28,2025-04-16,Cancelled,1,5.0
SUB0000068,CUST000062,P01,2026-02-28,,Active,1,0.0
SUB0000069,CUST000063,P01,2024-04-23,2024-11-28,Cancelled,0,10.0
SUB0000070,CUST000064,P02,2024-03-25,,Active,1,0.0
SUB0000071,CUST000064,P02,2024-06-20,2025-08-22,Cancelled,1,0.0
SUB0000072,CUST000065,P01,2026-01-25,2026-02-26,Cancelled,1,0.0
SUB0000073,CUST000066,P04,2025-08-30,,Active,0,10.0
SUB0000074,CUST000067,P02,2025-05-29,2026-01-14,Cancelled,0,10.0
SUB0000075,CUST000068,P02,2025-09-04,,Active,0,0.0
SUB0000076,CUST000069,P01,2025-05-06,,Active,1,0.0
SUB0000077,CUST000070,P03,2025-04-08,2025-12-21,Cancelled,1,10.0
SUB0000078,CUST000070,P02,2025-11-10,,Active,1,5.0
SUB0000079,CUST000071,P03,2024-03-19,,Active,1,0.0
SUB0000080,CUST000072,P03,2025-10-08,,Active,0,0.0
SUB0000081,CUST000073,P02,2025-02-14,,Active,1,0.0
SUB0000082,CUST000074,P02,2024-07-21,2025-08-29,Cancelled,1,0.0
SUB0000083,CUST000075,P01,2025-11-27,,Active,1,0.0
SUB0000084,CUST000075,P01,2026-03-16,,Active,1,0.0
SUB0000085,CUST000076,P02,2026-02-16,,Active,1,5.0
SUB0000086,CUST000077,P02,2026-02-28,,Active,1,0.0
SUB0000087,CUST000078,P01,2024-09-23,,Active,1,0.0
SUB0000088,CUST000079,P01,2025-01-19,,Active,1,0.0
SUB0000089,CUST000080,P01,2024-04-27,2024-11-18,Cancelled,0,0.0
