cancellation_id,subscription_id,cancellation_date,cancellation_reason,voluntary_churn,save_offer_presented,save_offer_accepted
CAN000001,SUB0000001,2026-02-22,Temporary Need Ended,1,1,0
CAN000002,SUB0000003,2025-01-19,Product Not Needed,1,0,0
CAN000003,SUB0000006,2026-03-14,Product Not Needed,1,0,0
CAN000004,SUB0000008,2026-01-26,Temporary Need Ended,1,0,0
CAN000005,SUB0000013,2025-09-18,Temporary Need Ended,1,1,0
CAN000006,SUB0000024,2026-06-15,Too Expensive,1,0,0
CAN000007,SUB0000025,2025-06-14,Competitor,1,0,0
CAN000008,SUB0000032,2025-03-30,Payment Failure,0,0,0
CAN000009,SUB0000033,2025-12-19,Competitor,1,1,0
CAN000010,SUB0000037,2025-07-21,Other,1,0,0
CAN000011,SUB0000037,2025-11-24,Too Expensive,1,1,0
CAN000012,SUB0000037,2025-12-28,Product Not Needed,1,1,0
CAN000013,SUB0000039,2025-04-27,Product Not Needed,1,0,0
CAN000014,SUB0000042,2026-06-28,Product Not Needed,1,0,0
CAN000015,SUB0000046,2026-04-14,Too Expensive,1,0,0
CAN000016,SUB0000052,2024-11-18,Competitor,1,0,0
CAN000017,SUB0000053,2025-04-28,Product Not Needed,1,1,0
CAN000018,SUB0000060,2026-03-18,Temporary Need Ended,1,1,0
CAN000019,SUB0000066,2025-09-10,Too Expensive,1,1,0
CAN000020,SUB0000067,2025-04-16,Product Not Needed,1,0,0
CAN000021,SUB0000069,2024-11-28,Product Not Needed,1,1,0
CAN000022,SUB0000071,2025-08-22,Product Not Needed,1,0,0
CAN000023,SUB0000072,2026-02-26,Temporary Need Ended,1,1,0
CAN000024,SUB0000074,2026-01-14,Product Not Needed,1,1,0
CAN000025,SUB0000077,2025-12-21,Too Expensive,1,0,0
CAN000026,SUB0000082,2025-08-29,Too Expensive,1,0,0
CAN000027,SUB0000089,2024-11-18,Competitor,1,0,0
CAN000028,SUB0000091,2026-02-27,Temporary Need Ended,1,0,0
CAN000029,SUB0000095,2025-07-18,Product Not Needed,1,1,0
CAN000030,SUB0000097,2025-12-11,Too Expensive,1,0,0
CAN000031,SUB0000099,2025-11-21,Other,1,1,0
CAN000032,SUB0000100,2025-06-12,Product Not Needed,1,1,0
CAN000033,SUB0000102,2026-06-29,Temporary Need Ended,1,1,0
CAN000034,SUB0000105,2025-06-19,Payment Failure,0,0,0
CAN000035,SUB0000106,2026-01-20,Temporary Need Ended,1,0,0
CAN000036,SUB0000107,2025-07-13,Too Expensive,1,1,0
CAN000037,SUB0000108,2025-03-11,Competitor,1,1,0
CAN000038,SUB0000115,2026-01-23,Payment Failure,0,0,0
CAN000039,SUB0000122,2026-05-25,Temporary Need Ended,1,0,0
CAN000040,SUB0000126,2025-07-13,Competitor,1,0,0
CAN000041,SUB0000139,2026-06-19,Too Expensive,1,0,0
CAN000042,SUB0000141,2025-08-21,Product Not Needed,1,1,0
CAN000043,SUB0000149,2025-09-12,Product Not Needed,1,1,0
CAN000044,SUB0000153,2025-09-30,Product Not Needed,1,1,0
CAN000045,SUB0000154,2025-04-22,Too Expensive,1,1,0
CAN000046,SUB0000155,2026-02-28,Product Usability,1,1,0
CAN000047,SUB0000158,2025-11-23,Payment Failure,0,0,0
CAN000048,SUB0000160,2024-12-29,Too Expensive,1,0,0
CAN000049,SUB0000160,2026-03-31,Too Expensive,1,1,0
CAN000050,SUB0000162,2025-09-12,Product Not Needed,1,0,0
CAN000051,SUB0000165,2025-01-25,Too Expensive,1,1,0
CAN000052,SUB0000169,2025-07-10,Payment Failure,0,0,0
CAN000053,SUB0000171,2025-09-23,Too Expensive,1,1,0
CAN000054,SUB0000173,2025-06-22,Competitor,1,1,0
CAN000055,SUB0000174,2025-04-22,Payment Failure,0,0,0
CAN000056,SUB0000175,2025-03-15,Product Not Needed,1,1,0
CAN000057,SUB0000177,2024-09-24,Other,1,0,0
CAN000058,SUB0000177,2024-12-22,Payment Failure,0,0,0
CAN000059,SUB0000181,2026-05-20,Temporary Need Ended,1,1,0
CAN000060,SUB0000182,2026-01-17,Technical Problems,1,1,0
CAN000061,SUB0000187,2025-09-10,Product Not Needed,1,0,0
CAN000062,SUB0000195,2025-10-21,Low Usage,1,1,0
CAN000063,SUB0000200,2025-01-26,Competitor,1,0,0
CAN000064,SUB0000202,2025-07-21,Low Usage,1,1,0
CAN000065,SUB0000211,2025-06-13,Too Expensive,1,1,0
CAN000066,SUB0000216,2025-06-25,Payment Failure,0,0,0
CAN000067,SUB0000219,2024-09-19,Product Not Needed,1,0,0
CAN000068,SUB0000221,2025-02-27,Product Not Needed,1,1,0
CAN000069,SUB0000226,2024-08-19,Product Usability,1,0,0
CAN000070,SUB0000227,2026-06-14,Too Expensive,1,0,0
CAN000071,SUB0000229,2024-10-21,Temporary Need Ended,1,1,0
CAN000072,SUB0000231,2025-05-20,Temporary Need Ended,1,1,0
CAN000073,SUB0000233,2024-11-24,Competitor,1,0,0
CAN000074,SUB0000236,2025-09-29,Temporary Need Ended,1,0,0
