contact_id,subscription_id,contact_date,channel,reason,resolved_first_contact,csat_score,refund_requested
CON00000001,SUB0000001,2024-10-19,Web Form,Technical Issue,1,5,0
CON00000002,SUB0000001,2024-11-03,Email,Billing Question,0,4,0
CON00000003,SUB0000001,2025-01-12,Email,Account Access,1,4,0
CON00000004,SUB0000001,2025-04-12,Phone,Feature Request,1,5,0
CON00000005,SUB0000001,2025-04-02,Web Form,Account Access,1,4,0
CON00000006,SUB0000001,2025-07-11,Chat,Feature Request,1,4,0
CON00000007,SUB0000001,2025-08-18,Web Form,Feature Request,1,5,0
CON00000008,SUB0000001,2025-08-18,Chat,Plan Change,0,5,0
CON00000009,SUB0000001,2025-09-10,Phone,Technical Issue,1,5,0
CON00000010,SUB0000002,2025-04-22,Email,Cancellation Inquiry,1,3,0
CON00000011,SUB0000002,2025-07-17,Phone,Account Access,1,5,0
CON00000012,SUB0000002,2025-09-08,Chat,Cancellation Inquiry,0,3,0
CON00000013,SUB0000003,2024-10-19,Phone,Cancellation Inquiry,1,5,0
CON00000014,SUB0000004,2026-05-25,Phone,Account Access,1,4,0
CON00000015,SUB0000005,2025-05-11,Email,Plan Change,1,5,0
CON00000016,SUB0000005,2025-10-25,Email,Plan Change,1,4,0
CON00000017,SUB0000005,2026-04-07,Chat,Billing Question,0,4,1
CON00000018,SUB0000006,2025-03-06,Email,Account Access,1,4,0
CON00000019,SUB0000006,2025-03-02,Phone,Feature Request,1,5,0
CON00000020,SUB0000006,2025-04-03,Chat,Feature Request,1,3,0
CON00000021,SUB0000006,2025-05-05,Phone,Plan Change,1,4,0
CON00000022,SUB0000006,2025-09-14,Email,Technical Issue,0,4,0
CON00000023,SUB0000006,2025-10-18,Email,Plan Change,1,4,0
CON00000024,SUB0000006,2025-12-07,Chat,Billing Question,1,4,0
CON00000025,SUB0000007,2024-10-01,Email,Billing Question,1,5,0
CON00000026,SUB0000007,2025-02-06,Chat,Technical Issue,1,5,0
CON00000027,SUB0000007,2025-04-26,Chat,Account Access,1,5,0
CON00000028,SUB0000007,2025-11-06,Chat,Billing Question,1,5,0
CON00000029,SUB0000007,2025-12-09,Chat,Billing Question,1,4,0
CON00000030,SUB0000008,2025-11-22,Web Form,Plan Change,1,5,0
CON00000031,SUB0000008,2025-12-17,Phone,Billing Question,1,5,0
CON00000032,SUB0000008,2026-01-22,Email,Plan Change,1,5,0
CON00000033,SUB0000008,2026-06-21,Chat,Billing Question,1,4,0
CON00000034,SUB0000010,2025-04-16,Chat,Product Usability,1,4,0
CON00000035,SUB0000010,2025-11-23,Chat,Billing Question,0,3,0
CON00000036,SUB0000011,2026-05-20,Chat,Technical Issue,1,5,0
CON00000037,SUB0000013,2025-04-04,Phone,Billing Question,0,4,0
CON00000038,SUB0000013,2025-08-23,Email,Plan Change,1,4,0
CON00000039,SUB0000013,2025-09-19,Email,Technical Issue,1,5,0
CON00000040,SUB0000014,2025-05-11,Phone,Cancellation Inquiry,1,5,0
CON00000041,SUB0000014,2025-11-20,Chat,Plan Change,1,5,0
CON00000042,SUB0000014,2026-01-03,Chat,Technical Issue,1,5,0
CON00000043,SUB0000014,2026-06-02,Web Form,Feature Request,0,4,0
CON00000044,SUB0000015,2026-05-26,Phone,Technical Issue,0,4,0
CON00000045,SUB0000015,2026-06-17,Phone,Plan Change,1,5,0
CON00000046,SUB0000016,2025-05-13,Email,Billing Question,1,4,1
CON00000047,SUB0000016,2026-03-23,Phone,Feature Request,1,5,0
CON00000048,SUB0000017,2026-01-24,Phone,Cancellation Inquiry,1,5,0
CON00000049,SUB0000017,2026-01-16,Phone,Account Access,1,5,0
CON00000050,SUB0000018,2025-05-07,Chat,Billing Question,1,4,0
CON00000051,SUB0000018,2025-08-06,Chat,Cancellation Inquiry,1,5,0
CON00000052,SUB0000018,2025-08-09,Chat,Billing Question,0,4,0
CON00000053,SUB0000018,2025-10-04,Web Form,Billing Question,0,5,1
CON00000054,SUB0000018,2026-04-26,Chat,Plan Change,0,3,0
CON00000055,SUB0000018,2026-06-11,Phone,Account Access,1,5,0
